Unnamed: 0,id,name,album,artist,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,happy,sad,angry,happiness,sadness,anger,disgust,surprise,fear
25,6RLwSsknomGUcImWZePZqa,Masquerade Suite: Waltz,Masquerade Suite: Waltz,Aram Khachaturian,2024-03-16,46,268290,0.186,0.75,0.376,0.939,0.627,0.137,-13.381,0.0421,179.003,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
26,41uSe6NMrbW7EjC6yE0ruU,"Waltzes, Op. 64: No. 2 in C-Sharp Minor. Tempo giusto","Waltzes, Op. 64: No. 2 in C-Sharp Minor. Tempo giusto",Frédéric Chopin,2024-08-23,43,215364,0.339,0.989,0.102,0.91,0.123,0.154,-24.587,0.0442,73.185,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
27,1opYoyv6nJuxTsLARXVBcS,Polaris,Polaris,José Salinas,2024-09-20,40,140239,0.241,0.994,0.043,0.898,0.0893,0.253,-29.254,0.0372,195.341,0,4,0,0,0,0,0.09694535285234451,0.025175707414746284,0.2583692669868469,0.09546136111021042,0.4399029612541199,0.04702351614832878
28,1CiQLTserlabm0rYFkfTpn,"2 Arabesques, L. 66: Arabesque No. 1","2 Arabesques, L. 66: Arabesque No. 1",Claude Debussy,2023-03-17,45,255388,0.294,0.994,0.0736,0.929,0.108,0.112,-26.905,0.0481,127.802,9,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
29,7M6g8OjANjibSLdupnTXO2,"Les chemins de l'amour, ""The Paths of Love"" (Arr. for Flute and Piano)","Les chemins de l'amour, ""The Paths of Love"" (Arr. for Flute and Piano)",Francis Poulenc,2024-08-16,42,227372,0.217,0.99,0.115,0.932,0.129,0.11,-21.376,0.0417,79.351,1,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,5cBlxWA7KWcApq9rs6YKBq,Romanza (Spanish Romance),An Idea,Andrés Madariaga,2022-10-22,44,151413,0.298,0.96,0.0988,0.893,0.109,0.206,-22.028,0.046,113.359,4,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
31,5YzPNf30PnKgmdwA5H0reP,Après un rêve (arr. Akira Eguchi),Après un rêve,Gabriel Fauré,2024-06-02,35,174914,0.192,0.959,0.179,0.799,0.13,0.0717,-15.018,0.0414,102.643,5,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
32,5y4lSt7RzBCxt5JjQUEKAp,Chôros No. 1,An Idea,Andrés Madariaga,2022-10-22,40,294000,0.348,0.959,0.198,0.883,0.124,0.176,-20.956,0.0517,83.057,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
33,3IKzcR0MRKVJ5QRjX0EU4m,"Swan Lake (Suite), Op. 20a, TH.219: 3. Scene - Danse de Petits Cygnes",Tchaikovsky: Swan Lake Suites,Pyotr Ilyich Tchaikovsky,2024-03-02,39,92143,0.547,0.967,0.252,0.966,0.144,0.833,-13.305,0.1,204.474,6,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
34,2yapbtHyRXtnkHgjbwiXPF,"Fantaisie, Op. 79: Allegro","Fauré: Fantaisie, Op. 79",Gabriel Fauré,2024-08-23,38,192798,0.432,0.987,0.16,0.923,0.158,0.597,-18.088,0.0419,137.7,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
