Unnamed: 0,id,name,album,artist,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,trust,fear,negative,sadness,anger,surprise,positive,disgust,joy,anticipation
275,4fixebDZAVToLbUCuEloa2,Womanizer,Circus (Deluxe Version),Britney Spears,2008-12-02,77,224400,0.724,0.073,0.695,0.0,0.0889,0.235,-5.226,0.0622,139.0,11,4,angry,0.04672897196261682,0.07476635514018691,0.2336448598130841,0.09345794392523364,0.08411214953271028,0.028037383177570093,0.1308411214953271,0.14018691588785046,0.1308411214953271,0.037383177570093455
276,3Vi5XqYrmQgOYBajMWSvCi,Need to Know,Planet Her,Doja Cat,2021-06-25,75,210560,0.664,0.304,0.609,0.0,0.0926,0.194,-6.509,0.0707,130.041,1,4,angry,0.0625,0.10714285714285714,0.19642857142857142,0.08928571428571429,0.05357142857142857,0.026785714285714284,0.17857142857142858,0.026785714285714284,0.16071428571428573,0.09821428571428571
277,26NX1wPt1TRCH536yocd6i,If I Were a Boy,I AM...SASHA FIERCE,Beyoncé,2008-11-14,63,249146,0.632,0.107,0.518,0.0,0.354,0.427,-6.126,0.0313,90.007,6,4,angry,0.03896103896103896,0.09090909090909091,0.24675324675324675,0.11688311688311688,0.1038961038961039,0.03896103896103896,0.15584415584415584,0.11688311688311688,0.05194805194805195,0.03896103896103896
278,2K9vpqu9c7a1NI2XZ836WP,Rip Her to Shreds,Mean Girls (Original Motion Picture Soundtrack),Various Artists,2004-01-01,4,247133,0.68,0.0283,0.942,4.09e-05,0.249,0.963,-4.449,0.0426,120.014,4,4,angry,0.0684931506849315,0.0821917808219178,0.2054794520547945,0.1780821917808219,0.0273972602739726,0.0547945205479452,0.1917808219178082,0.0273972602739726,0.0821917808219178,0.0821917808219178
279,3IcIIZMMS7UArJJPtEHXG8,Obsessed,Memoirs of an imperfect Angel,Mariah Carey,2009-09-29,68,242200,0.742,0.0458,0.467,0.0,0.826,0.366,-5.557,0.0624,86.442,10,4,angry,0.06206896551724138,0.08275862068965517,0.23448275862068965,0.0896551724137931,0.12413793103448276,0.034482758620689655,0.1310344827586207,0.12413793103448276,0.06206896551724138,0.05517241379310345
280,6IbnUaczZBT34DhaD6S18F,Bubblegum Bitch,Electra Heart (Deluxe),MARINA,2012-04-27,74,154666,0.495,0.000219,0.856,0.0,0.103,0.609,-5.123,0.0311,158.024,0,4,angry,0.02654867256637168,0.06637168141592921,0.17699115044247787,0.13716814159292035,0.14601769911504425,0.05752212389380531,0.13716814159292035,0.04424778761061947,0.16371681415929204,0.04424778761061947
281,5lAnYvAIkSDNXqfo7DyFUm,Ain't Shit,Planet Her,Doja Cat,2021-06-25,73,174253,0.855,0.506,0.488,0.0,0.347,0.619,-4.601,0.208,124.097,3,4,angry,0.057692307692307696,0.057692307692307696,0.2403846153846154,0.057692307692307696,0.18269230769230768,0.0,0.08653846153846154,0.19230769230769232,0.0673076923076923,0.057692307692307696
282,6eqBr4nAQCVIbUbE8IBDP1,i don’t really like your boyfriend,i don’t really like your boyfriend,Avenue Beat,2020-05-22,34,162220,0.81,0.352,0.438,0.0,0.0639,0.803,-6.746,0.0677,94.991,1,4,angry,0.015625,0.109375,0.328125,0.203125,0.078125,0.015625,0.09375,0.109375,0.0,0.046875
283,1Oi2zpmL81Q0yScF1zxaC0,"Bills, Bills, Bills",The Writing's On The Wall,Destiny's Child,1999-07-27,68,256026,0.845,0.139,0.576,0.0,0.0764,0.461,-5.15,0.153,127.641,11,4,angry,0.24725274725274726,0.005494505494505495,0.06593406593406594,0.005494505494505495,0.016483516483516484,0.027472527472527472,0.23626373626373626,0.016483516483516484,0.21978021978021978,0.15934065934065933
284,53yWQ1FObrwPlVYCZdR6es,Liar,Liar,BigKlit,2019-07-23,42,146526,0.883,0.339,0.492,0.0,0.166,0.59,-12.118,0.354,94.959,7,4,angry,0.019230769230769232,0.21153846153846154,0.25,0.057692307692307696,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.17307692307692307,0.038461538461538464,0.09615384615384616
